what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1352450265383
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1352450265387
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1352450265389
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1352450265390
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1352450265392
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1352450265395
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1352450265397
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1352450265400
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1352450265402
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1352450265404
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1352450265406
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1352450265416
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1352450265418
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1352450265419
started,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1352450265421
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1352450265421
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1352450265424
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1352450265426
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1352450265428
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1352450265428
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1352450265430
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1352450265433
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1352450265436
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1352450265437
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1352450265440
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1352450265442
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1352450265445
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1352450265447
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1352450265449
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1352450265452
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1352450265454
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1352450265458
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1352450265460
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1352450265463
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1352450265465
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1352450265469
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1352450265507
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1352450265507
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1352450265510
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1352450265512
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1352450265514
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1352450265517
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1352450265519
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1352450265522
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1352450265524
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1352450265525
os,sysinfo,,,"win32",1352450265536
arch,sysinfo,,,"x86_64",1352450265536
ws,sysinfo,,,"win32",1352450265536
locale,sysinfo,,,"es_ES",1352450265536
processors,sysinfo,,,"4",1352450265537
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1352450265537
java.runtime.version,sysinfo,,,"1.6.0_35-b10",1352450265537
java.specification.name,sysinfo,,,"Java Platform API Specification",1352450265537
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1352450265537
java.specification.version,sysinfo,,,"1.6",1352450265537
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1352450265537
java.version,sysinfo,,,"1.6.0_35",1352450265537
java.vm.info,sysinfo,,,"mixed mode",1352450265537
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1352450265537
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1352450265537
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1352450265537
java.vm.specification.version,sysinfo,,,"1.0",1352450265537
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1352450265537
java.vm.version,sysinfo,,,"20.10-b01",1352450265537
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1352450265547
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1352450265926
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1352450265991
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1352450266110
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1352450266702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352450283244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352450321261
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1352450321279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352450322176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352450327871
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1352450333003
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1352450333052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352450334927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352450338219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352450339001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352450559342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352450638308
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1352450660553
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1352450661703
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1352450661758
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352450661761
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1352450661992
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1352450662054
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1352450662180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352450667627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352450732599
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1352450732620
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1352450734981
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1352450734996
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1352450737243
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1352450737250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352450737604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352450739715
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1352450739728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1352450739728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352450741585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352450749992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352450753153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352450840678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352450846085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352450853079
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352450853354
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1352450854006
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1352450854008
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1352450854011
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1352450854013
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1352450854015
